time_over_Tg,Tg_omega_x,Tg_omega_y,Tg_omega_envelope,phase_rad,Tg_delta
0.000000000000e+00,8.835703669203e-17,0.000000000000e+00,8.835703669203e-17,0.000000000000e+00,0.000000000000e+00
4.000000000000e-04,6.510853214186e-03,1.298570700074e-05,6.510866163981e-03,1.994468214061e-03,0.000000000000e+00
8.000000000000e-04,1.302483869447e-02,5.212113657299e-05,1.302494297991e-02,4.001650967540e-03,0.000000000000e+00
1.200000000000e-03,1.954196227089e-02,1.176764315233e-04,1.954231657556e-02,6.021657782295e-03,0.000000000000e+00
1.600000000000e-03,2.606222764212e-02,2.099253111008e-04,2.606307307870e-02,8.054598180183e-03,0.000000000000e+00
2.000000000000e-03,3.258563632463e-02,3.291450747864e-04,3.258729861712e-02,1.010058168306e-02,0.000000000000e+00
2.400000000000e-03,3.911218760109e-02,4.756166058579e-04,3.911507931858e-02,1.215971781278e-02,0.000000000000e+00
2.800000000000e-03,4.564187846807e-02,6.496243747205e-04,4.564650131086e-02,1.423211609121e-02,0.000000000000e+00
3.200000000000e-03,5.217470358298e-02,8.514564419916e-04,5.218165072172e-02,1.631788604020e-02,0.000000000000e+00
3.600000000000e-03,5.871065521032e-02,1.081404461328e-03,5.872061367896e-02,1.841713718160e-02,0.000000000000e+00
4.000000000000e-03,6.524972316712e-02,1.339763681982e-03,6.526347631033e-02,2.052997903728e-02,0.000000000000e+00
4.400000000000e-03,7.179189476768e-02,1.626832951079e-03,7.181032474362e-02,2.265652112909e-02,0.000000000000e+00
4.800000000000e-03,7.833715476748e-02,1.942914715602e-03,7.836124510660e-02,2.479687297889e-02,0.000000000000e+00
5.200000000000e-03,8.488548530638e-02,2.288315024060e-03,8.491632352704e-02,2.695114410853e-02,0.000000000000e+00
5.600000000000e-03,9.143686595778e-02,2.663343534994e-03,9.147564623968e-02,2.911944408392e-02,0.000000000000e+00
6.000000000000e-03,9.799127994544e-02,3.068313970991e-03,9.803930587254e-02,3.130188510342e-02,0.000000000000e+00
6.400000000000e-03,1.045487175715e-01,3.503544543942e-03,1.046074049492e-01,3.349858343995e-02,0.000000000000e+00
6.800000000000e-03,1.111091671166e-01,3.969357462540e-03,1.111800468430e-01,3.570965571626e-02,0.000000000000e+00
7.200000000000e-03,1.176726139274e-01,4.466078882312e-03,1.177573349269e-01,3.793521855508e-02,0.000000000000e+00
7.600000000000e-03,1.242390403518e-01,4.994038907892e-03,1.243393725743e-01,4.017538857916e-02,0.000000000000e+00
8.000000000000e-03,1.308084256733e-01,5.553571594911e-03,1.309262631583e-01,4.243028241125e-02,0.000000000000e+00
8.400000000000e-03,1.373807466576e-01,6.145015014469e-03,1.375181106681e-01,4.470001693207e-02,0.000000000000e+00
8.800000000000e-03,1.439559853419e-01,6.768712115847e-03,1.441150275976e-01,4.698471258401e-02,0.000000000000e+00
9.200000000000e-03,1.505341266557e-01,7.425010683346e-03,1.507171326414e-01,4.928449240625e-02,0.000000000000e+00
9.600000000000e-03,1.571151523056e-01,8.114262783839e-03,1.573245446347e-01,5.159947949689e-02,0.000000000000e+00
1.000000000000e-02,1.636990405611e-01,8.836824755389e-03,1.639373824129e-01,5.392979695403e-02,0.000000000000e+00
1.040000000000e-02,1.702857661805e-01,9.593057209091e-03,1.705557648111e-01,5.627556787579e-02,0.000000000000e+00
1.080000000000e-02,1.768753003347e-01,1.038332503045e-02,1.771798106647e-01,5.863691536026e-02,0.000000000000e+00
1.120000000000e-02,1.834676135395e-01,1.120799769964e-02,1.838096418318e-01,6.101396324156e-02,0.000000000000e+00
1.160000000000e-02,1.900626850917e-01,1.206745040110e-02,1.904453927598e-01,6.340683841896e-02,0.000000000000e+00
1.200000000000e-02,1.966604937027e-01,1.296206321795e-02,1.970872011731e-01,6.581566858959e-02,0.000000000000e+00
1.240000000000e-02,2.032610141520e-01,1.389222081420e-02,2.037352047959e-01,6.824058145057e-02,0.000000000000e+00
1.280000000000e-02,2.098642172026e-01,1.485831243666e-02,2.103895413525e-01,7.068170469901e-02,0.000000000000e+00
1.320000000000e-02,2.164700695159e-01,1.586073191614e-02,2.170503485671e-01,7.313916603203e-02,0.000000000000e+00
1.360000000000e-02,2.230785338525e-01,1.689987771275e-02,2.237177644544e-01,7.561309324784e-02,0.000000000000e+00
1.400000000000e-02,2.296895780638e-01,1.797615437090e-02,2.303919364845e-01,7.810361743669e-02,0.000000000000e+00
1.440000000000e-02,2.363031768188e-01,1.908997304917e-02,2.370730234457e-01,8.061087362944e-02,0.000000000000e+00
