time_over_Tg,Tg_omega_x,Tg_omega_y,Tg_omega_envelope,phase_rad,Tg_delta
0.000000000000e+00,2.255005714240e-17,0.000000000000e+00,2.255005714240e-17,0.000000000000e+00,0.000000000000e+00
4.000000000000e-04,8.934540101017e-03,1.871193178957e-05,8.934559695535e-03,2.094333252715e-03,0.000000000000e+00
8.000000000000e-04,1.791904094767e-02,7.515611447145e-05,1.791919855702e-02,4.194179476260e-03,0.000000000000e+00
1.200000000000e-03,2.695392308328e-02,1.697996921380e-04,2.695445791543e-02,6.299544800293e-03,0.000000000000e+00
1.600000000000e-03,3.603960442584e-02,3.031159102686e-04,3.604087910173e-02,8.410435354471e-03,0.000000000000e+00
2.000000000000e-03,4.517650022063e-02,4.755841370822e-04,4.517900344691e-02,1.052685726845e-02,0.000000000000e+00
2.400000000000e-03,5.436502299230e-02,6.876898846735e-04,5.436937228193e-02,1.264881667190e-02,0.000000000000e+00
2.800000000000e-03,6.360558249653e-02,9.399248299282e-04,6.361252693777e-02,1.477631969446e-02,0.000000000000e+00
3.200000000000e-03,7.289858567117e-02,1.232786835214e-03,7.290900874540e-02,1.690937246580e-02,0.000000000000e+00
3.600000000000e-03,8.224443658698e-02,1.566779968840e-03,8.225935903580e-02,1.904798111558e-02,0.000000000000e+00
4.000000000000e-03,9.164353639790e-02,1.942414525285e-03,9.166411913994e-02,2.119215177345e-02,0.000000000000e+00
4.400000000000e-03,1.010962832908e-01,2.360207045185e-03,1.011238303888e-01,2.334189056907e-02,0.000000000000e+00
4.800000000000e-03,1.106030736904e-01,2.820680364349e-03,1.106390353694e-01,2.549720360724e-02,0.000000000000e+00
5.200000000000e-03,1.201643230814e-01,3.324364173401e-03,1.202102988049e-01,2.765809655465e-02,0.000000000000e+00
5.600000000000e-03,1.297804627446e-01,3.871795168303e-03,1.298382043469e-01,2.982457470340e-02,0.000000000000e+00
6.000000000000e-03,1.394519213879e-01,4.463516722223e-03,1.395233362571e-01,3.199664333348e-02,0.000000000000e+00
6.400000000000e-03,1.491791244819e-01,5.100078893113e-03,1.492662787970e-01,3.417430772490e-02,0.000000000000e+00
6.800000000000e-03,1.589624942051e-01,5.782038444011e-03,1.590676162281e-01,3.635757315767e-02,0.000000000000e+00
7.200000000000e-03,1.688024539758e-01,6.509959027800e-03,1.689279374017e-01,3.854644483993e-02,0.000000000000e+00
7.600000000000e-03,1.786994458081e-01,7.284411914716e-03,1.788478531855e-01,4.074092763499e-02,0.000000000000e+00
8.000000000000e-03,1.886539148368e-01,8.105975620305e-03,1.888279810409e-01,4.294102630292e-02,0.000000000000e+00
8.400000000000e-03,1.986663026693e-01,8.975235716227e-03,1.988689384304e-01,4.514674560378e-02,0.000000000000e+00
8.800000000000e-03,2.087370473262e-01,9.892784850525e-03,2.089713428165e-01,4.735809029760e-02,0.000000000000e+00
9.200000000000e-03,2.188665835366e-01,1.085922278381e-02,2.191358120173e-01,4.957506513789e-02,0.000000000000e+00
9.600000000000e-03,2.290553574548e-01,1.187515711613e-02,2.293629789990e-01,5.179767459967e-02,0.000000000000e+00
1.000000000000e-02,2.393038319227e-01,1.294120372534e-02,2.396534972137e-01,5.402592278128e-02,0.000000000000e+00
