time_over_Tg,Tg_omega_x,Tg_omega_y,Tg_omega_envelope,phase_rad,Tg_delta
0.000000000000e+00,7.830175007848e-17,0.000000000000e+00,7.830175007848e-17,0.000000000000e+00,3.113448076559e+00
4.000000000000e-04,4.827896542099e-03,1.336954327096e-05,4.827915053716e-03,2.769220296919e-03,3.113448076559e+00
8.000000000000e-04,9.684702216400e-03,5.363098265606e-05,9.684850711427e-03,5.537644137072e-03,3.113448076559e+00
1.200000000000e-03,1.457072620581e-02,1.210165162236e-04,1.457122874579e-02,8.305264407044e-03,3.113448076559e+00
1.600000000000e-03,1.948627644910e-02,2.157623115992e-04,1.948747092944e-02,1.107207399342e-02,3.113448076559e+00
2.000000000000e-03,2.443165961393e-02,3.381084948936e-04,2.443399903506e-02,1.383806578279e-02,3.113448076559e+00
2.400000000000e-03,2.940718107004e-02,4.882991394300e-04,2.941123483527e-02,1.660323266172e-02,3.113448076559e+00
2.800000000000e-03,3.441314486255e-02,6.665822542707e-04,3.441960010274e-02,1.936756751682e-02,3.113448076559e+00
3.200000000000e-03,3.944985368538e-02,8.732097725444e-04,3.945951661012e-02,2.213106323466e-02,3.113448076559e+00
3.600000000000e-03,4.451760885472e-02,1.108437539576e-03,4.453140613007e-02,2.489371270183e-02,3.113448076559e+00
4.000000000000e-03,4.961671028272e-02,1.372525300817e-03,4.963569043522e-02,2.765550880491e-02,3.113448076559e+00
4.400000000000e-03,5.474745645125e-02,1.665736689582e-03,5.477279129824e-02,3.041644443048e-02,3.113448076559e+00
4.800000000000e-03,5.991014438576e-02,1.988339214590e-03,5.994313049179e-02,3.317651246514e-02,3.113448076559e+00
5.200000000000e-03,6.510506962931e-02,2.340604247308e-03,6.514712978850e-02,3.593570579547e-02,3.113448076559e+00
5.600000000000e-03,7.033252621668e-02,2.722807009104e-03,7.038521096103e-02,3.869401730804e-02,3.113448076559e+00
6.000000000000e-03,7.559280664869e-02,3.135226558210e-03,7.565779578204e-02,4.145143988946e-02,3.113448076559e+00
6.400000000000e-03,8.088620238909e-02,3.578145800154e-03,8.096530654729e-02,4.420796643309e-02,3.113448076559e+00
6.800000000000e-03,8.621302622418e-02,4.051852558971e-03,8.630818848691e-02,4.696359013048e-02,3.113448076559e+00
7.200000000000e-03,9.157362066569e-02,4.556640317369e-03,9.168691822068e-02,4.971830458125e-02,3.113448076559e+00
7.600000000000e-03,9.696832881944e-02,5.092807081218e-03,9.710197463492e-02,5.247210341445e-02,3.113448076559e+00
8.000000000000e-03,1.023974920913e-01,5.660655268911e-03,1.025538366160e-01,5.522498025918e-02,3.113448076559e+00
8.400000000000e-03,1.078614501576e-01,6.260491696658e-03,1.080429830501e-01,5.797692874451e-02,3.113448076559e+00
8.800000000000e-03,1.133605409359e-01,6.892627563584e-03,1.135698928238e-01,6.072794249951e-02,3.113448076559e+00
9.200000000000e-03,1.188951005558e-01,7.557378436599e-03,1.191350448232e-01,6.347801515327e-02,3.113448076559e+00
9.600000000000e-03,1.244654662760e-01,8.255064427320e-03,1.247389208868e-01,6.622714030974e-02,3.113448076559e+00
1.000000000000e-02,1.300720028690e-01,8.986012011864e-03,1.303820322829e-01,6.897531132265e-02,3.113448076559e+00
1.040000000000e-02,1.357150900633e-01,9.750553527588e-03,1.360649071766e-01,7.172252140202e-02,3.113448076559e+00
1.080000000000e-02,1.413951058450e-01,1.054902616177e-02,1.417880739339e-01,7.446876375617e-02,3.113448076559e+00
1.120000000000e-02,1.471124262254e-01,1.138177192199e-02,1.475520609210e-01,7.721403159342e-02,3.113448076559e+00
1.160000000000e-02,1.528674252090e-01,1.224913761880e-02,1.533573965039e-01,7.995831812209e-02,3.113448076559e+00
1.200000000000e-02,1.586604747619e-01,1.315147484823e-02,1.592046090488e-01,8.270161655049e-02,3.113448076559e+00
1.240000000000e-02,1.644919448039e-01,1.408913997604e-02,1.650942269452e-01,8.544392008729e-02,3.113448076559e+00
1.280000000000e-02,1.703622173096e-01,1.506249540532e-02,1.710267927972e-01,8.818522214955e-02,3.113448076559e+00
1.320000000000e-02,1.762717102325e-01,1.607191200698e-02,1.770028875015e-01,9.092551671574e-02,3.113448076559e+00
1.360000000000e-02,1.822208456594e-01,1.711776657036e-02,1.830230983378e-01,9.366479785793e-02,3.113448076559e+00
1.400000000000e-02,1.882100434153e-01,1.820044124179e-02,1.890880125861e-01,9.640305964817e-02,3.113448076559e+00
1.440000000000e-02,1.942397210281e-01,1.932032350498e-02,1.951982175262e-01,9.914029615853e-02,3.113448076559e+00
1.480000000000e-02,2.003102936937e-01,2.047780616124e-02,2.013543004379e-01,1.018765014611e-01,3.113448076559e+00
1.520000000000e-02,2.064221742410e-01,2.167328730936e-02,2.075568486010e-01,1.046116696279e-01,3.113448076559e+00
1.560000000000e-02,2.125757761453e-01,2.290717064957e-02,2.138064523604e-01,1.073457947113e-01,3.113448076559e+00
1.600000000000e-02,2.187715478639e-01,2.417986925434e-02,2.201037397046e-01,1.100788705233e-01,3.113448076559e+00
1.640000000000e-02,2.250099604561e-01,2.549180467667e-02,2.264493638987e-01,1.128108907141e-01,3.113448076559e+00
1.680000000000e-02,2.312914828603e-01,2.684340444268e-02,2.328439786763e-01,1.155418489308e-01,3.113448076559e+00
1.720000000000e-02,2.376165813901e-01,2.823510198056e-02,2.392882377706e-01,1.182717388207e-01,3.113448076559e+00
1.760000000000e-02,2.439857196959e-01,2.966733659765e-02,2.457827949152e-01,1.210005540310e-01,3.113448076559e+00
1.800000000000e-02,2.503993587269e-01,3.114055345711e-02,2.523283038433e-01,1.237282882089e-01,3.113448076559e+00
1.840000000000e-02,2.568579569188e-01,3.265520358380e-02,2.589254185159e-01,1.264549350044e-01,3.113448076559e+00
1.880000000000e-02,2.633619937084e-01,3.421174697717e-02,2.655748168808e-01,1.291804883462e-01,3.113448076559e+00
1.920000000000e-02,2.699119900770e-01,3.581065572342e-02,2.722772216890e-01,1.319049426843e-01,3.113448076559e+00
1.960000000000e-02,2.765084689093e-01,3.745240910944e-02,2.790333605981e-01,1.346282925258e-01,3.113448076559e+00
2.000000000000e-02,2.831519500827e-01,3.913749297725e-02,2.858439612659e-01,1.373505323776e-01,3.113448076559e+00
2.040000000000e-02,2.898429504252e-01,4.086639969794e-02,2.927097513502e-01,1.400716567467e-01,3.113448076559e+00
2.080000000000e-02,2.965819836734e-01,4.263962814543e-02,2.996314585087e-01,1.427916601403e-01,3.113448076559e+00
2.120000000000e-02,3.033695604305e-01,4.445768366989e-02,3.066098103993e-01,1.455105370652e-01,3.113448076559e+00
2.160000000000e-02,3.102062009617e-01,4.632107996876e-02,3.136455476562e-01,1.482282819685e-01,3.113448076559e+00
2.200000000000e-02,3.170924781468e-01,4.823034570979e-02,3.207394673946e-01,1.509448890359e-01,3.113448076559e+00
2.240000000000e-02,3.240289766811e-01,5.018601902060e-02,3.278923820923e-01,1.536603523820e-01,3.113448076559e+00
2.280000000000e-02,3.310162778196e-01,5.218864529371e-02,3.351051042272e-01,1.563746661217e-01,3.113448076559e+00
2.320000000000e-02,3.380549593304e-01,5.423877715647e-02,3.423784462774e-01,1.590878243695e-01,3.113448076559e+00
2.360000000000e-02,3.451455954491e-01,5.633697444057e-02,3.497132207210e-01,1.617998212402e-01,3.113448076559e+00
2.400000000000e-02,3.522887568324e-01,5.848380415142e-02,3.571102400360e-01,1.645106508484e-01,3.113448076559e+00
2.440000000000e-02,3.594850177116e-01,6.067984167605e-02,3.645703240048e-01,1.672203073735e-01,3.113448076559e+00
2.480000000000e-02,3.667350063356e-01,6.292567968932e-02,3.720943509869e-01,1.699287855145e-01,3.113448076559e+00
2.520000000000e-02,3.740393748433e-01,6.522192359757e-02,3.796832275081e-01,1.726360802201e-01,3.113448076559e+00
