time_over_Tg,Tg_omega_x,Tg_omega_y,Tg_omega_envelope,phase_rad,Tg_delta
0.000000000000e+00,2.390809006455e-17,0.000000000000e+00,2.390809006455e-17,0.000000000000e+00,0.000000000000e+00
4.000000000000e-04,8.628449365119e-03,1.847717458199e-05,8.628469148835e-03,2.141421425403e-03,0.000000000000e+00
8.000000000000e-04,1.730745719574e-02,7.418439018464e-05,1.730761618207e-02,4.286241187442e-03,0.000000000000e+00
1.200000000000e-03,2.603741044129e-02,1.675388075466e-04,2.603794945344e-02,6.434453063616e-03,0.000000000000e+00
1.600000000000e-03,3.481869385551e-02,2.989624218935e-04,3.481997731667e-02,8.586050831428e-03,0.000000000000e+00
2.000000000000e-03,4.365168996350e-02,4.688820675918e-04,4.365420812548e-02,1.074102826838e-02,0.000000000000e+00
2.400000000000e-03,5.253677902860e-02,6.777294225625e-04,5.254115023360e-02,1.289937915197e-02,0.000000000000e+00
2.800000000000e-03,6.147433901913e-02,9.259410124539e-04,6.148131199476e-02,1.506109725969e-02,0.000000000000e+00
3.200000000000e-03,7.046474557497e-02,1.213958214571e-03,7.047520176269e-02,1.722617636906e-02,0.000000000000e+00
3.600000000000e-03,7.950837197396e-02,1.542227261559e-03,7.952332789110e-02,1.939461025757e-02,0.000000000000e+00
4.000000000000e-03,8.860558909820e-02,1.911199244846e-03,8.862619873374e-02,2.156639270272e-02,0.000000000000e+00
4.400000000000e-03,9.775676540011e-02,2.321330117831e-03,9.778432264432e-02,2.374151748201e-02,0.000000000000e+00
4.800000000000e-03,1.069622668863e-01,2.773080699277e-03,1.069982079945e-01,2.591997837282e-02,0.000000000000e+00
5.200000000000e-03,1.162224690566e-01,3.266917002169e-03,1.162683751512e-01,2.810176906142e-02,0.000000000000e+00
5.600000000000e-03,1.255377776432e-01,3.803310972567e-03,1.255953772634e-01,3.028688298526e-02,0.000000000000e+00
6.000000000000e-03,1.349086013464e-01,4.382739982638e-03,1.349797730292e-01,3.247531353962e-02,0.000000000000e+00
6.400000000000e-03,1.443353462496e-01,5.005686706357e-03,1.444221211463e-01,3.466705411979e-02,0.000000000000e+00
6.800000000000e-03,1.538184157824e-01,5.672639122527e-03,1.539229803130e-01,3.686209812108e-02,0.000000000000e+00
7.200000000000e-03,1.633582108528e-01,6.384090523493e-03,1.634829093968e-01,3.906043893468e-02,0.000000000000e+00
7.600000000000e-03,1.729551431568e-01,7.140540014429e-03,1.731024807912e-01,4.126206962510e-02,0.000000000000e+00
8.000000000000e-03,1.826096447534e-01,7.942493024519e-03,1.827822900404e-01,4.346698269772e-02,0.000000000000e+00
8.400000000000e-03,1.923221471550e-01,8.790460680924e-03,1.925229349592e-01,4.567517060306e-02,0.000000000000e+00
8.800000000000e-03,2.020930790182e-01,9.684959735784e-03,2.023250133625e-01,4.788662579163e-02,0.000000000000e+00
9.200000000000e-03,2.119228661042e-01,1.062651256816e-02,2.121891230652e-01,5.010134071398e-02,0.000000000000e+00
9.600000000000e-03,2.218119324162e-01,1.161564724719e-02,2.221158630607e-01,5.231930782007e-02,0.000000000000e+00
1.000000000000e-02,2.317607223842e-01,1.265289875744e-02,2.321058557792e-01,5.454051954898e-02,0.000000000000e+00
1.040000000000e-02,2.417696989410e-01,1.373880915364e-02,2.421597452158e-01,5.676496832978e-02,0.000000000000e+00
1.080000000000e-02,2.518393227418e-01,1.487392657979e-02,2.522781761686e-01,5.899264659116e-02,0.000000000000e+00
1.120000000000e-02,2.619700513187e-01,1.605880523072e-02,2.624617934355e-01,6.122354676180e-02,0.000000000000e+00
1.160000000000e-02,2.721623390385e-01,1.729400535350e-02,2.727112418146e-01,6.345766127039e-02,0.000000000000e+00
1.200000000000e-02,2.824166416789e-01,1.858009352278e-02,2.830271707319e-01,6.569498244108e-02,0.000000000000e+00
1.240000000000e-02,2.927334423547e-01,1.991764428213e-02,2.934102602613e-01,6.793550190563e-02,0.000000000000e+00
1.280000000000e-02,3.031132333034e-01,2.130723930068e-02,3.038612029369e-01,7.017921101434e-02,0.000000000000e+00
1.320000000000e-02,3.135565034338e-01,2.274946668760e-02,3.143806913286e-01,7.242610111670e-02,0.000000000000e+00
1.360000000000e-02,3.240637382454e-01,2.424492099031e-02,3.249694180064e-01,7.467616356218e-02,0.000000000000e+00
1.400000000000e-02,3.346354198560e-01,2.579420320026e-02,3.356280756149e-01,7.692938970046e-02,0.000000000000e+00
1.440000000000e-02,3.452720419169e-01,2.739792195377e-02,3.463573718818e-01,7.918577091959e-02,0.000000000000e+00
1.480000000000e-02,3.559741277236e-01,2.905669520293e-02,3.571580478509e-01,8.144529869241e-02,0.000000000000e+00
1.520000000000e-02,3.667422013799e-01,3.077114815519e-02,3.680308490218e-01,8.370796450309e-02,0.000000000000e+00
1.560000000000e-02,3.775767833057e-01,3.254191293711e-02,3.789765208942e-01,8.597375983580e-02,0.000000000000e+00
1.600000000000e-02,3.884783901876e-01,3.436962859393e-02,3.899958089678e-01,8.824267617473e-02,0.000000000000e+00
1.640000000000e-02,3.994475373035e-01,3.625494128419e-02,4.010894611247e-01,9.051470495426e-02,0.000000000000e+00
1.680000000000e-02,4.104847667359e-01,3.819850668752e-02,4.122582559942e-01,9.278983696634e-02,0.000000000000e+00
1.720000000000e-02,4.215906379713e-01,4.020098951005e-02,4.235029935935e-01,9.506806255604e-02,0.000000000000e+00
1.760000000000e-02,4.327657069551e-01,4.226306185334e-02,4.348244743728e-01,9.734937205936e-02,0.000000000000e+00
