time_over_Tg,Tg_omega_x,Tg_omega_y,Tg_omega_envelope,phase_rad,Tg_delta
0.000000000000e+00,1.477924027247e-01,0.000000000000e+00,1.477924027247e-01,0.000000000000e+00,0.000000000000e+00
4.000000000000e-04,1.487071558972e-01,0.000000000000e+00,1.487071558972e-01,0.000000000000e+00,0.000000000000e+00
8.000000000000e-04,1.496268319292e-01,0.000000000000e+00,1.496268319292e-01,0.000000000000e+00,0.000000000000e+00
1.200000000000e-03,1.505514522244e-01,0.000000000000e+00,1.505514522244e-01,0.000000000000e+00,0.000000000000e+00
1.600000000000e-03,1.514810381864e-01,0.000000000000e+00,1.514810381864e-01,0.000000000000e+00,0.000000000000e+00
2.000000000000e-03,1.524156112337e-01,0.000000000000e+00,1.524156112337e-01,0.000000000000e+00,0.000000000000e+00
2.400000000000e-03,1.533551928834e-01,0.000000000000e+00,1.533551928834e-01,0.000000000000e+00,0.000000000000e+00
2.800000000000e-03,1.542998047009e-01,0.000000000000e+00,1.542998047009e-01,0.000000000000e+00,0.000000000000e+00
3.200000000000e-03,1.552494683204e-01,0.000000000000e+00,1.552494683204e-01,0.000000000000e+00,0.000000000000e+00
3.600000000000e-03,1.562042054177e-01,0.000000000000e+00,1.562042054177e-01,0.000000000000e+00,0.000000000000e+00
4.000000000000e-03,1.571640377395e-01,0.000000000000e+00,1.571640377395e-01,0.000000000000e+00,0.000000000000e+00
4.400000000000e-03,1.581289870822e-01,0.000000000000e+00,1.581289870822e-01,0.000000000000e+00,0.000000000000e+00
4.800000000000e-03,1.590990753061e-01,0.000000000000e+00,1.590990753061e-01,0.000000000000e+00,0.000000000000e+00
5.200000000000e-03,1.600743243256e-01,0.000000000000e+00,1.600743243256e-01,0.000000000000e+00,0.000000000000e+00
5.600000000000e-03,1.610547561133e-01,0.000000000000e+00,1.610547561133e-01,0.000000000000e+00,0.000000000000e+00
6.000000000000e-03,1.620403927019e-01,0.000000000000e+00,1.620403927019e-01,0.000000000000e+00,0.000000000000e+00
6.400000000000e-03,1.630312561766e-01,0.000000000000e+00,1.630312561766e-01,0.000000000000e+00,0.000000000000e+00
6.800000000000e-03,1.640273686876e-01,0.000000000000e+00,1.640273686876e-01,0.000000000000e+00,0.000000000000e+00
7.200000000000e-03,1.650287524323e-01,0.000000000000e+00,1.650287524323e-01,0.000000000000e+00,0.000000000000e+00
7.600000000000e-03,1.660354296781e-01,0.000000000000e+00,1.660354296781e-01,0.000000000000e+00,0.000000000000e+00
8.000000000000e-03,1.670474227346e-01,0.000000000000e+00,1.670474227346e-01,0.000000000000e+00,0.000000000000e+00
8.400000000000e-03,1.680647539852e-01,0.000000000000e+00,1.680647539852e-01,0.000000000000e+00,0.000000000000e+00
8.800000000000e-03,1.690874458522e-01,0.000000000000e+00,1.690874458522e-01,0.000000000000e+00,0.000000000000e+00
9.200000000000e-03,1.701155208344e-01,0.000000000000e+00,1.701155208344e-01,0.000000000000e+00,0.000000000000e+00
9.600000000000e-03,1.711490014663e-01,0.000000000000e+00,1.711490014663e-01,0.000000000000e+00,0.000000000000e+00
1.000000000000e-02,1.721879103611e-01,0.000000000000e+00,1.721879103611e-01,0.000000000000e+00,0.000000000000e+00
1.040000000000e-02,1.732322701663e-01,0.000000000000e+00,1.732322701663e-01,0.000000000000e+00,0.000000000000e+00
1.080000000000e-02,1.742821036082e-01,0.000000000000e+00,1.742821036082e-01,0.000000000000e+00,0.000000000000e+00
1.120000000000e-02,1.753374334475e-01,0.000000000000e+00,1.753374334475e-01,0.000000000000e+00,0.000000000000e+00
1.160000000000e-02,1.763982825222e-01,0.000000000000e+00,1.763982825222e-01,0.000000000000e+00,0.000000000000e+00
1.200000000000e-02,1.774646737068e-01,0.000000000000e+00,1.774646737068e-01,0.000000000000e+00,0.000000000000e+00
1.240000000000e-02,1.785366299500e-01,0.000000000000e+00,1.785366299500e-01,0.000000000000e+00,0.000000000000e+00
1.280000000000e-02,1.796141742400e-01,0.000000000000e+00,1.796141742400e-01,0.000000000000e+00,0.000000000000e+00
1.320000000000e-02,1.806973296352e-01,0.000000000000e+00,1.806973296352e-01,0.000000000000e+00,0.000000000000e+00
1.360000000000e-02,1.817861192377e-01,0.000000000000e+00,1.817861192377e-01,0.000000000000e+00,0.000000000000e+00
1.400000000000e-02,1.828805662145e-01,0.000000000000e+00,1.828805662145e-01,0.000000000000e+00,0.000000000000e+00
1.440000000000e-02,1.839806937813e-01,0.000000000000e+00,1.839806937813e-01,0.000000000000e+00,0.000000000000e+00
1.480000000000e-02,1.850865252134e-01,0.000000000000e+00,1.850865252134e-01,0.000000000000e+00,0.000000000000e+00
1.520000000000e-02,1.861980838396e-01,0.000000000000e+00,1.861980838396e-01,0.000000000000e+00,0.000000000000e+00
1.560000000000e-02,1.873153930428e-01,0.000000000000e+00,1.873153930428e-01,0.000000000000e+00,0.000000000000e+00
1.600000000000e-02,1.884384762643e-01,0.000000000000e+00,1.884384762643e-01,0.000000000000e+00,0.000000000000e+00
1.640000000000e-02,1.895673569943e-01,0.000000000000e+00,1.895673569943e-01,0.000000000000e+00,0.000000000000e+00
1.680000000000e-02,1.907020587860e-01,0.000000000000e+00,1.907020587860e-01,0.000000000000e+00,0.000000000000e+00
1.720000000000e-02,1.918426052364e-01,0.000000000000e+00,1.918426052364e-01,0.000000000000e+00,0.000000000000e+00
1.760000000000e-02,1.929890200097e-01,0.000000000000e+00,1.929890200097e-01,0.000000000000e+00,0.000000000000e+00
1.800000000000e-02,1.941413268096e-01,0.000000000000e+00,1.941413268096e-01,0.000000000000e+00,0.000000000000e+00
1.840000000000e-02,1.952995494105e-01,0.000000000000e+00,1.952995494105e-01,0.000000000000e+00,0.000000000000e+00
