time_over_Tg,Tg_omega_x,Tg_omega_y,Tg_omega_envelope,phase_rad,Tg_delta
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4.000000000000e-04,1.240234746248e-03,0.000000000000e+00,1.240234746248e-03,0.000000000000e+00,0.000000000000e+00
8.000000000000e-04,4.960743137549e-03,0.000000000000e+00,4.960743137549e-03,0.000000000000e+00,0.000000000000e+00
1.200000000000e-03,1.116093766250e-02,0.000000000000e+00,1.116093766250e-02,0.000000000000e+00,0.000000000000e+00
1.600000000000e-03,1.983983923850e-02,0.000000000000e+00,1.983983923850e-02,0.000000000000e+00,0.000000000000e+00
2.000000000000e-03,3.099607736640e-02,0.000000000000e+00,3.099607736640e-02,0.000000000000e+00,0.000000000000e+00
2.400000000000e-03,4.462789034686e-02,0.000000000000e+00,4.462789034686e-02,0.000000000000e+00,0.000000000000e+00
2.800000000000e-03,6.073312555858e-02,0.000000000000e+00,6.073312555858e-02,0.000000000000e+00,0.000000000000e+00
3.200000000000e-03,7.930923979824e-02,0.000000000000e+00,7.930923979824e-02,0.000000000000e+00,0.000000000000e+00
3.600000000000e-03,1.003532996820e-01,0.000000000000e+00,1.003532996820e-01,0.000000000000e+00,0.000000000000e+00
4.000000000000e-03,1.238619821090e-01,0.000000000000e+00,1.238619821090e-01,0.000000000000e+00,0.000000000000e+00
4.400000000000e-03,1.498315747856e-01,0.000000000000e+00,1.498315747856e-01,0.000000000000e+00,0.000000000000e+00
4.800000000000e-03,1.782579768122e-01,0.000000000000e+00,1.782579768122e-01,0.000000000000e+00,0.000000000000e+00
5.200000000000e-03,2.091366993302e-01,0.000000000000e+00,2.091366993302e-01,0.000000000000e+00,0.000000000000e+00
5.600000000000e-03,2.424628662316e-01,0.000000000000e+00,2.424628662316e-01,0.000000000000e+00,0.000000000000e+00
6.000000000000e-03,2.782312149281e-01,0.000000000000e+00,2.782312149281e-01,0.000000000000e+00,0.000000000000e+00
6.400000000000e-03,3.164360971830e-01,0.000000000000e+00,3.164360971830e-01,0.000000000000e+00,0.000000000000e+00
6.800000000000e-03,3.570714800024e-01,0.000000000000e+00,3.570714800024e-01,0.000000000000e+00,0.000000000000e+00
7.200000000000e-03,4.001309465882e-01,0.000000000000e+00,4.001309465882e-01,0.000000000000e+00,0.000000000000e+00
7.600000000000e-03,4.456076973517e-01,0.000000000000e+00,4.456076973517e-01,0.000000000000e+00,0.000000000000e+00
