sample_index,t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad
0,0.000000,6.165332533744e-03,0.000000000000e+00,3.077914851216e-01,0.000000000000e+00,3.077914851216e-01,0.000000000000e+00
1,1.000000,5.458086520180e-02,0.000000000000e+00,2.724836895291e+00,0.000000000000e+00,2.724836895291e+00,0.000000000000e+00
2,2.000000,1.466726808695e-01,0.000000000000e+00,7.322330470336e+00,0.000000000000e+00,7.322330470336e+00,0.000000000000e+00
3,3.000000,2.734261909779e-01,0.000000000000e+00,1.365023750651e+01,0.000000000000e+00,1.365023750651e+01,0.000000000000e+00
4,4.000000,4.224338788140e-01,0.000000000000e+00,2.108913837399e+01,0.000000000000e+00,2.108913837399e+01,0.000000000000e+00
5,5.000000,5.791098336947e-01,0.000000000000e+00,2.891086162601e+01,0.000000000000e+00,2.891086162601e+01,0.000000000000e+00
6,6.000000,7.281175215307e-01,0.000000000000e+00,3.634976249349e+01,0.000000000000e+00,3.634976249349e+01,0.000000000000e+00
7,7.000000,8.548710316392e-01,0.000000000000e+00,4.267766952966e+01,0.000000000000e+00,4.267766952966e+01,0.000000000000e+00
8,8.000000,9.469628473069e-01,0.000000000000e+00,4.727516310471e+01,0.000000000000e+00,4.727516310471e+01,0.000000000000e+00
9,9.000000,9.953783799749e-01,0.000000000000e+00,4.969220851488e+01,0.000000000000e+00,4.969220851488e+01,0.000000000000e+00
10,10.000000,9.953783799749e-01,0.000000000000e+00,4.969220851488e+01,0.000000000000e+00,4.969220851488e+01,0.000000000000e+00
11,11.000000,9.469628473069e-01,0.000000000000e+00,4.727516310471e+01,0.000000000000e+00,4.727516310471e+01,0.000000000000e+00
12,12.000000,8.548710316392e-01,0.000000000000e+00,4.267766952966e+01,0.000000000000e+00,4.267766952966e+01,0.000000000000e+00
13,13.000000,7.281175215307e-01,0.000000000000e+00,3.634976249349e+01,0.000000000000e+00,3.634976249349e+01,0.000000000000e+00
14,14.000000,5.791098336947e-01,0.000000000000e+00,2.891086162601e+01,0.000000000000e+00,2.891086162601e+01,0.000000000000e+00
15,15.000000,4.224338788140e-01,0.000000000000e+00,2.108913837399e+01,0.000000000000e+00,2.108913837399e+01,0.000000000000e+00
16,16.000000,2.734261909779e-01,0.000000000000e+00,1.365023750651e+01,0.000000000000e+00,1.365023750651e+01,0.000000000000e+00
17,17.000000,1.466726808695e-01,0.000000000000e+00,7.322330470336e+00,0.000000000000e+00,7.322330470336e+00,0.000000000000e+00
18,18.000000,5.458086520180e-02,0.000000000000e+00,2.724836895291e+00,0.000000000000e+00,2.724836895291e+00,0.000000000000e+00
19,19.000000,6.165332533744e-03,0.000000000000e+00,3.077914851216e-01,0.000000000000e+00,3.077914851216e-01,0.000000000000e+00
20,20.000000,-1.536535380087e-03,5.970794275252e-03,-7.670835335974e-02,2.980795646101e-01,3.077914851216e-01,1.822672961883e+00
21,21.000000,-1.360274243105e-02,5.285864399066e-02,-6.790888036720e-01,2.638858560565e+00,2.724836895291e+00,1.822672961883e+00
22,22.000000,-3.655403211663e-02,1.420446340045e-01,-1.824884508789e+00,7.091284795183e+00,7.322330470336e+00,1.822672961883e+00
23,23.000000,-6.814377229136e-02,2.647986182188e-01,-3.401937001864e+00,1.321952376674e+01,1.365023750651e+01,1.822672961883e+00
24,24.000000,-1.052797390883e-01,4.091045813815e-01,-5.255873396907e+00,2.042370074676e+01,2.108913837399e+01,1.822672961883e+00
25,25.000000,-1.443268053358e-01,5.608368503794e-01,-7.205217482434e+00,2.799862069797e+01,2.891086162601e+01,1.822672961883e+00
26,26.000000,-1.814627721327e-01,7.051428135420e-01,-9.059153877476e+00,3.520279767799e+01,3.634976249349e+01,1.822672961883e+00
27,27.000000,-2.130525123074e-01,8.278967977564e-01,-1.063620637055e+01,4.133103664955e+01,4.267766952966e+01,1.822672961883e+00
28,28.000000,-2.360038019930e-01,9.170827877702e-01,-1.178200207567e+01,4.578346288417e+01,4.727516310471e+01,1.822672961883e+00
29,29.000000,-2.480700090440e-01,9.639706374856e-01,-1.238438252598e+01,4.812424188012e+01,4.969220851488e+01,1.822672961883e+00
30,30.000000,-2.480700090440e-01,9.639706374856e-01,-1.238438252598e+01,4.812424188012e+01,4.969220851488e+01,1.822672961883e+00
31,31.000000,-2.360038019930e-01,9.170827877702e-01,-1.178200207567e+01,4.578346288417e+01,4.727516310471e+01,1.822672961883e+00
32,32.000000,-2.130525123074e-01,8.278967977564e-01,-1.063620637055e+01,4.133103664955e+01,4.267766952966e+01,1.822672961883e+00
33,33.000000,-1.814627721327e-01,7.051428135420e-01,-9.059153877476e+00,3.520279767799e+01,3.634976249349e+01,1.822672961883e+00
34,34.000000,-1.443268053358e-01,5.608368503794e-01,-7.205217482434e+00,2.799862069797e+01,2.891086162601e+01,1.822672961883e+00
35,35.000000,-1.052797390883e-01,4.091045813815e-01,-5.255873396907e+00,2.042370074676e+01,2.108913837399e+01,1.822672961883e+00
36,36.000000,-6.814377229136e-02,2.647986182188e-01,-3.401937001864e+00,1.321952376674e+01,1.365023750651e+01,1.822672961883e+00
37,37.000000,-3.655403211663e-02,1.420446340045e-01,-1.824884508789e+00,7.091284795183e+00,7.322330470336e+00,1.822672961883e+00
38,38.000000,-1.360274243105e-02,5.285864399066e-02,-6.790888036720e-01,2.638858560565e+00,2.724836895291e+00,1.822672961883e+00
39,39.000000,-1.536535380087e-03,5.970794275252e-03,-7.670835335974e-02,2.980795646101e-01,3.077914851216e-01,1.822672961883e+00
40,40.000000,1.061004547144e-03,-1.121301770433e-03,5.296845928404e-02,-5.597867354309e-02,7.706665667180e-02,5.470164125966e+00
41,41.000000,9.509832579368e-03,-1.005027936635e-02,4.747587379660e-01,-5.017394268882e-01,6.907519900581e-01,5.470164125966e+00
42,42.000000,2.619945045761e-02,-2.768837349620e-02,1.307953418827e+00,-1.382284824436e+00,1.903011687218e+00,5.470164125966e+00
43,43.000000,5.071890440004e-02,-5.360127574503e-02,2.532036483610e+00,-2.675932916136e+00,3.683995891148e+00,5.470164125966e+00
44,44.000000,8.246444407519e-02,-8.715092445947e-02,4.116866944761e+00,-4.350829792599e+00,5.989850859999e+00,5.470164125966e+00
45,45.000000,1.206543889389e-01,-1.275112159433e-01,6.023421016575e+00,-6.365733934063e+00,8.763798791745e+00,5.470164125966e+00
46,46.000000,1.643483758034e-01,-1.736883458720e-01,8.204753010315e+00,-8.671031713480e+00,1.193753588210e+01,5.470164125966e+00
47,47.000000,2.124705137000e-01,-2.245452800537e-01,1.060715129287e+01,-1.120995904868e+01,1.543291419087e+01,5.470164125966e+00
48,48.000000,2.638358758856e-01,-2.788297519843e-01,1.317146084542e+01,-1.391999912245e+01,1.916386590360e+01,5.470164125966e+00
49,49.000000,3.171796766713e-01,-3.352050978050e-01,1.583453985632e+01,-1.673442175406e+01,2.303852260680e+01,5.470164125966e+00
50,50.000000,3.711884146438e-01,-3.922831694027e-01,1.853081448208e+01,-1.958392651780e+01,2.696147739320e+01,5.470164125966e+00
51,51.000000,4.245322154295e-01,-4.486585152235e-01,2.119389349298e+01,-2.239834914942e+01,3.083613409640e+01,5.470164125966e+00
52,52.000000,4.758975776151e-01,-5.029429871540e-01,2.375820304553e+01,-2.510838922319e+01,3.456708580913e+01,5.470164125966e+00
53,53.000000,5.240197155117e-01,-5.537999213357e-01,2.616060132808e+01,-2.764731655838e+01,3.806246411790e+01,5.470164125966e+00
54,54.000000,5.677137023762e-01,-5.999770512644e-01,2.834193332182e+01,-2.995261433780e+01,4.123620120825e+01,5.470164125966e+00
55,55.000000,6.059036472399e-01,-6.403373427482e-01,3.024848739364e+01,-3.196751847926e+01,4.401014914000e+01,5.470164125966e+00
56,56.000000,6.376491869151e-01,-6.738869914627e-01,3.183331785479e+01,-3.364241535573e+01,4.631600410885e+01,5.470164125966e+00
57,57.000000,6.621686408575e-01,-6.997998937115e-01,3.305740091957e+01,-3.493606344743e+01,4.809698831278e+01,5.470164125966e+00
58,58.000000,6.788582587357e-01,-7.174379878414e-01,3.389059560043e+01,-3.581660884498e+01,4.930924800994e+01,5.470164125966e+00
59,59.000000,6.873070867680e-01,-7.263669654373e-01,3.431238587911e+01,-3.626236959832e+01,4.992293334333e+01,5.470164125966e+00
60,60.000000,6.873070867680e-01,-7.263669654373e-01,3.431238587911e+01,-3.626236959832e+01,4.992293334333e+01,5.470164125966e+00
